"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"0","Food and live animals","Food and live animals",0,1,"TOTAL"
"00","Live animals","Live animals",0,2,"0"
"001","Live animals","Live animals",0,3,"00"
"0011","Bovine cattle including buffaloes","Bovine cattle including buffaloes",1,4,"001"
"0012","Sheep,lambs and goats","Sheep,lambs and goats",1,4,"001"
"0013","Swine","Swine",1,4,"001"
"0014","Poultry,live","Poultry,live",0,4,"001"
"00141","Baby chicks inc.other poultry < 4 days","Baby chicks inc.other poultry < 4 days",1,5,"0014"
"00142","Other poultry","Other poultry",1,5,"0014"
"0015","Horses,asses,mules and hinnies","Horses,asses,mules and hinnies",1,4,"001"
"0019","Live animals chiefly for food ,n.e.s.","Live animals chiefly for food ,n.e.s.",1,4,"001"
"01","Meat and meat preparations","Meat and meat preparations",0,2,"0"
"011","Meat, fresh, chilled or frozen","Meat, fresh, chilled or frozen",0,3,"01"
"0111","Meat of bovine animals,fresh,chilled or frozen","Meat of bovine animals,fresh,chilled or frozen",1,4,"011"
"0112","Meat of sheep & goats, fresh, chilled or frozen","Meat of sheep & goats, fresh, chilled or frozen",1,4,"011"
"0113","Meat of swine,fresh,chilled or frozen","Meat of swine,fresh,chilled or frozen",1,4,"011"
"0114","Poultry,incl.offals ex.liver fresh,chilled,froz","Poultry,incl.offals ex.liver fresh,chilled,froz",1,4,"011"
"0115","Meat of horses,asses,mules & hinnies,fr.ch.fro.","Meat of horses,asses,mules & hinnies,fr.ch.fro.",1,4,"011"
"0116","Edible offals of animals,fresh,chilled,frozen","Edible offals of animals,fresh,chilled,frozen",1,4,"011"
"0118","Other fresh,chilled,frozen meat & edible offals","Other fresh,chilled,frozen meat & edible offals",0,4,"011"
"01181","Poultry liver,fresh,chilled,frozen salted","Poultry liver,fresh,chilled,frozen salted",1,5,"0118"
"01189","Meat & edible offals,n.e.s.","Meat & edible offals,n.e.s.",1,5,"0118"
"012","Meat, dried, salted or smoked","Meat, dried, salted or smoked",0,3,"01"
"0121","Bacon,ham & other dried,salted,smoked pig meat","Bacon,ham & other dried,salted,smoked pig meat",1,4,"012"
"0129","Meat & edible offals,nes. Dried,salted,smoked","Meat & edible offals,nes. Dried,salted,smoked",1,4,"012"
"013","Meat in airtight containers nes & meat preptns","Meat in airtight containers nes & meat preptns",0,3,"01"
"0133","Meat extracts & meat juices","Meat extracts & meat juices",1,4,"013"
"0134","Sausages,whether or not in airtight containers","Sausages,whether or not in airtight containers",0,4,"013"
"01341","Sausages in airtight containers","Sausages in airtight containers",1,5,"0134"
"01342","Sausages not in airtight containers","Sausages not in airtight containers",1,5,"0134"
"0138","Other prepared or preserved meat","Other prepared or preserved meat",0,4,"013"
"01381","Other meat in airtight containers","Other meat in airtight containers",1,5,"0138"
"01382","Other meat not in airtight containers","Other meat not in airtight containers",1,5,"0138"
"02","Dairy products and eggs","Dairy products and eggs",0,2,"0"
"022","Milk and cream","Milk and cream",0,3,"02"
"0221","Milk & cream evaporated or condensed","Milk & cream evaporated or condensed",1,4,"022"
"0222","Milk & cream in solid form,blocks or powder","Milk & cream in solid form,blocks or powder",0,4,"022"
"02221","Whole milk and cream","Whole milk and cream",1,5,"0222"
"02222","Skimmed milk","Skimmed milk",1,5,"0222"
"0223","Milk & cream fresh","Milk & cream fresh",1,4,"022"
"023","Butter","Butter",0,3,"02"
"0230","Butter","Butter",1,4,"023"
"024","Cheese and curd","Cheese and curd",0,3,"02"
"0240","Cheese and curd","Cheese and curd",1,4,"024"
"025","Eggs","Eggs",0,3,"02"
"0250","Eggs","Eggs",0,4,"025"
"02501","Eggs in the shell","Eggs in the shell",1,5,"0250"
"02502","Eggs not in the shell","Eggs not in the shell",1,5,"0250"
"03","Fish and fish preparations","Fish and fish preparations",0,2,"0"
"031","Fish,fresh & simply preserved","Fish,fresh & simply preserved",0,3,"03"
"0311","Fish, fresh, chilled or frozen","Fish, fresh, chilled or frozen",0,4,"031"
"03111","Herring,fresh or chilled","Herring,fresh or chilled",1,5,"0311"
"03112","Fish fillets,fresh or chilled","Fish fillets,fresh or chilled",1,5,"0311"
"03113","Other fish,fresh or chilled","Other fish,fresh or chilled",1,5,"0311"
"03114","Herring,frozen","Herring,frozen",1,5,"0311"
"03115","Fish fillets,frozen","Fish fillets,frozen",1,5,"0311"
"03116","Other fish,frozen","Other fish,frozen",1,5,"0311"
"0312","Fish, salted, dried or smoked","Fish, salted, dried or smoked",0,4,"031"
"03121","Stock fish,dried unsalted","Stock fish,dried unsalted",1,5,"0312"
"03122","Cod,hake,haddock etc,salted","Cod,hake,haddock etc,salted",1,5,"0312"
"03123","Herring,dried or salted","Herring,dried or salted",1,5,"0312"
"03124","Sardines,anchovies,etc.dried/salted","Sardines,anchovies,etc.dried/salted",1,5,"0312"
"03125","Other fish,dried or salted","Other fish,dried or salted",1,5,"0312"
"03126","Herring,smoked or smoked frozen","Herring,smoked or smoked frozen",1,5,"0312"
"03127","Other fish,smoked or smoked frozen","Other fish,smoked or smoked frozen",1,5,"0312"
"0313","Crustacea & molluscs,fresh,chilled,salted,dried","Crustacea & molluscs,fresh,chilled,salted,dried",1,4,"031"
"032","Fish,in airtight containers,nes & fish preptns.","Fish,in airtight containers,nes & fish preptns.",0,3,"03"
"0320","Fish,in airtight containers","Fish,in airtight containers",0,4,"032"
"03201","Prepared or preserved fish incl.caviar","Prepared or preserved fish incl.caviar",1,5,"0320"
"03202","Crustacea & molluscs,prepared or preserved","Crustacea & molluscs,prepared or preserved",1,5,"0320"
"04","Cereals and cereal preparations","Cereals and cereal preparations",0,2,"0"
"041","Wheat  including spelt   and meslin, unmilled","Wheat  including spelt   and meslin, unmilled",0,3,"04"
"0410","Wheat and meslin,unmilled","Wheat and meslin,unmilled",1,4,"041"
"042","Rice","Rice",0,3,"04"
"0421","Rice in the husk or not,not further prepared","Rice in the husk or not,not further prepared",1,4,"042"
"0422","Rice,glazed or polished,not further prepared","Rice,glazed or polished,not further prepared",1,4,"042"
"043","Barley, unmilled","Barley, unmilled",0,3,"04"
"0430","Barley,unmilled","Barley,unmilled",1,4,"043"
"044","Maize  corn   unmilled","Maize  corn   unmilled",0,3,"04"
"0440","Maize (corn),unmilled","Maize (corn),unmilled",1,4,"044"
"045","Cereals,unmilled excl.wheat,rice,barley & maize","Cereals,unmilled excl.wheat,rice,barley & maize",0,3,"04"
"0451","Rye,unmilled","Rye,unmilled",1,4,"045"
"0452","Oats,unmilled","Oats,unmilled",1,4,"045"
"0459","Cereals,unmilled,nes","Cereals,unmilled,nes",1,4,"045"
"046","Meal and flour of wheat or of meslin","Meal and flour of wheat or of meslin",0,3,"04"
"0460","Meal and flour of wheat or of meslin","Meal and flour of wheat or of meslin",0,4,"046"
"04601","Flour of wheat or of meslin","Flour of wheat or of meslin",1,5,"0460"
"04602","Meal & groats of wheat or of meslin","Meal & groats of wheat or of meslin",1,5,"0460"
"047","Meal & flour of cereals,except wheat/meslin","Meal & flour of cereals,except wheat/meslin",0,3,"04"
"0470","Meal & flour of cereals exc.wheat or meslin","Meal & flour of cereals exc.wheat or meslin",0,4,"047"
"04701","Cereal flours exc.of wheat or of meslin","Cereal flours exc.of wheat or of meslin",1,5,"0470"
"04702","Cereal meal & groats exc. Of wheat or meslin","Cereal meal & groats exc. Of wheat or meslin",1,5,"0470"
"048","Cereal preps & preps of flour of fruits & vegs","Cereal preps & preps of flour of fruits & vegs",0,3,"04"
"0481","Cereal grains,flaked,pearled","Cereal grains,flaked,pearled",0,4,"048"
"04811","Cereal grains,rolled,flaked,polished","Cereal grains,rolled,flaked,polished",1,5,"0481"
"04812","Prep.foods obt. By roasting of cereal grains","Prep.foods obt. By roasting of cereal grains",1,5,"0481"
"0482","Malt including malt flour","Malt including malt flour",1,4,"048"
"0483","Macaroni,spaghetti,noodles,vermicelli etc.","Macaroni,spaghetti,noodles,vermicelli etc.",1,4,"048"
"0484","Bakery products","Bakery products",0,4,"048"
"04841","Bread,ships biscuits & other bakers wares","Bread,ships biscuits & other bakers wares",1,5,"0484"
"04842","Pastry,biscuits,cakes & fine bakers wares","Pastry,biscuits,cakes & fine bakers wares",1,5,"0484"
"0488","Preparations of cereals,flour & starch for food","Preparations of cereals,flour & starch for food",0,4,"048"
"04881","Malt extract","Malt extract",1,5,"0488"
"04882","Prep.of flour,starch or malt as infant food","Prep.of flour,starch or malt as infant food",1,5,"0488"
"04883","Sealing wafers & similar products","Sealing wafers & similar products",1,5,"0488"
"05","Fruit and vegetables","Fruit and vegetables",0,2,"0"
"051","Fruit, fresh, and nuts  excl. Oil nuts","Fruit, fresh, and nuts  excl. Oil nuts",0,3,"05"
"0511","Oranges, tangerines and clementines","Oranges, tangerines and clementines",0,4,"051"
"05111","Oranges","Oranges",1,5,"0511"
"05112","Tangarines/mandarines/clementines","Tangarines/mandarines/clementines",1,5,"0511"
"0512","Other citrus fruit","Other citrus fruit",0,4,"051"
"05121","Lemons and limes","Lemons and limes",1,5,"0512"
"05122","Rest of 051.2","Rest of 051.2",1,5,"0512"
"0513","Bananas including plantains ,fresh","Bananas including plantains ,fresh",1,4,"051"
"0514","Apples, fresh","Apples, fresh",1,4,"051"
"0515","Grapes,fresh","Grapes,fresh",1,4,"051"
"0517","Edible nuts,fresh or dried","Edible nuts,fresh or dried",0,4,"051"
"05171","Coconuts,brazil cashew nuts,fresh/dried","Coconuts,brazil cashew nuts,fresh/dried",1,5,"0517"
"05172","Other edible nuts,fresh or dried","Other edible nuts,fresh or dried",1,5,"0517"
"05173","Coconuts","Coconuts",1,5,"0517"
"05174","Rest of 051.71","Rest of 051.71",1,5,"0517"
"0519","Fresh fruit,nes","Fresh fruit,nes",0,4,"051"
"05191","Figs,fresh","Figs,fresh",1,5,"0519"
"05192","Pears & quinces,fresh","Pears & quinces,fresh",1,5,"0519"
"05193","Stone fruit,fresh","Stone fruit,fresh",1,5,"0519"
"05194","Berries,fresh","Berries,fresh",1,5,"0519"
"05195","Tropical fruit other than bananas,fresh","Tropical fruit other than bananas,fresh",1,5,"0519"
"05199","Other fresh fruit","Other fresh fruit",1,5,"0519"
"052","Dried fruit including artificially dehydrated","Dried fruit including artificially dehydrated",0,3,"05"
"0520","Dried fruit,dehydrated artificially","Dried fruit,dehydrated artificially",0,4,"052"
"05201","Tropical fruit,dried","Tropical fruit,dried",1,5,"0520"
"05202","Figs,dried","Figs,dried",1,5,"0520"
"05203","Grapes,dried (raisins)","Grapes,dried (raisins)",1,5,"0520"
"05209","Other dried fruit","Other dried fruit",1,5,"0520"
"053","Fruit,preserved and fruit preparations","Fruit,preserved and fruit preparations",0,3,"05"
"0532","Fruit,fruit peel,preserved by sugar","Fruit,fruit peel,preserved by sugar",1,4,"053"
"0533","Jams,marmalades,fruit jellies","Jams,marmalades,fruit jellies",0,4,"053"
"05331","Jams etc.containing added sugar","Jams etc.containing added sugar",1,5,"0533"
"05332","Jams etc.not containing added sugar","Jams etc.not containing added sugar",1,5,"0533"
"0535","Fruit juices & vegetable juices,unfermented","Fruit juices & vegetable juices,unfermented",1,4,"053"
"0536","Fruit,temporarily preserved","Fruit,temporarily preserved",0,4,"053"
"05361","Fruit pres. By freezing, not cont. Added sugar","Fruit pres. By freezing, not cont. Added sugar",1,5,"0536"
"05362","Fruit pres. By freezing, cont. Added sugar","Fruit pres. By freezing, cont. Added sugar",1,5,"0536"
"05363","Fruit in temporary preservative","Fruit in temporary preservative",1,5,"0536"
"05364","Peel of melons & citrus fruit not pres by sugar","Peel of melons & citrus fruit not pres by sugar",1,5,"0536"
"0539","Fruit & nuts,prepared or preserved,nes","Fruit & nuts,prepared or preserved,nes",0,4,"053"
"05391","Fruits/nuts preser.in airtight cont.","Fruits/nuts preser.in airtight cont.",1,5,"0539"
"05392","Fruits/nuts preser.not in airtight cont.","Fruits/nuts preser.not in airtight cont.",1,5,"0539"
"054","Vegetables, roots & tubers, fresh or dried","Vegetables, roots & tubers, fresh or dried",0,3,"05"
"0541","Potatoes, fresh, not including sweet potatoes","Potatoes, fresh, not including sweet potatoes",1,4,"054"
"0542","Beans,peas,lentils & leguminous vegetab.,dried","Beans,peas,lentils & leguminous vegetab.,dried",1,4,"054"
"0544","Tomatoes, fresh","Tomatoes, fresh",1,4,"054"
"0545","Other fresh vegetables","Other fresh vegetables",1,4,"054"
"0546","Vegetables,frozen or in temporary preservative","Vegetables,frozen or in temporary preservative",0,4,"054"
"05461","Vegetables,frozen","Vegetables,frozen",1,5,"0546"
"05462","Vegetables in temporary preservative","Vegetables in temporary preservative",1,5,"0546"
"0548","Vegetable products,chiefly for human food nes","Vegetable products,chiefly for human food nes",0,4,"054"
"05481","Roots & tubers,fresh or dried,sago pith","Roots & tubers,fresh or dried,sago pith",1,5,"0548"
"05482","Sugar beet,fresh or dried;sugar cane","Sugar beet,fresh or dried;sugar cane",1,5,"0548"
"05483","Chicory roots,fresh or dried,unroasted","Chicory roots,fresh or dried,unroasted",1,5,"0548"
"05484","Hops","Hops",1,5,"0548"
"05489","Vegetable products,fresh or dried,n.e.s.","Vegetable products,fresh or dried,n.e.s.",1,5,"0548"
"055","Vegetables, roots & tubers pres or prepared nes","Vegetables, roots & tubers pres or prepared nes",0,3,"05"
"0551","Vegetables,dehydrated excl.leguminous vegetab.","Vegetables,dehydrated excl.leguminous vegetab.",1,4,"055"
"0554","Flour & flakes of potatoes,fruits,vegetables","Flour & flakes of potatoes,fruits,vegetables",0,4,"055"
"05541","Flours of leg.vegetables fall.in heading 054.2","Flours of leg.vegetables fall.in heading 054.2",1,5,"0554"
"05542","Flours of the fruits falling within group 051","Flours of the fruits falling within group 051",1,5,"0554"
"05543","Flour,meal & flakes of potato","Flour,meal & flakes of potato",1,5,"0554"
"05544","Flour & meal of roots & tubers fall.in 054.81","Flour & meal of roots & tubers fall.in 054.81",1,5,"0554"
"05545","Tapioca,sago & substitutes","Tapioca,sago & substitutes",1,5,"0554"
"0555","Vegetables preserved or prepared,nes","Vegetables preserved or prepared,nes",0,4,"055"
