"CODE","SHORTDESCRIPTION"
"293921","Quinine, salts, in bulk"
"293929","Cinchona alkaloids, derivatives nes, in bulk, salts"
"293930","Caffeine, salts, in bulk"
"293940","Ephedrines, salts, in bulk"
"293950","Theophylline and aminophylline, derivs, in bulk, salt"
"293960","Rye ergot alkaloids, derivatives, in bulk, salts"
"293970","Nicotine, salts, in bulk"
"293990","Vegetable alkaloids nes, salts, ethers, esters in bul"
"294000","Sugars, chem pure, their ethers, esters, salts in bul"
"294110","Penicillins, derivatives, in bulk, salts"
"294120","Streptomycins, derivatives, in bulk, salts"
"294130","Tetracyclines, derivatives, in bulk, salts"
"294140","Chloramphenicol, derivatives, in bulk, salts"
"294150","Erythromycin, derivatives, in bulk, salts"
"294190","Antibiotics nes, in bulk"
"294200","Organic compounds, nes"
"300110","Glands and other organs, dried, for therapeutic uses"
"300120","Extracts of glands etc. for therapeutic use"
"300190","Heparin, salts, for therapeutic use"
"300210","Antisera and other blood fractions"
"300220","Vaccines, human use"
"300231","Vaccines, foot and mouth disease, veterinary use"
"300239","Vaccines, veterinary use, except foot and mouth"
"300290","Blood, toxins, cultures, medical use, nes"
"300310","Penicillins or streptomycins and derivatives, in bulk"
"300320","Antibiotics nes, formulated, in bulk"
"300331","Insulin, formulated, in bulk"
"300339","Hormones nes, no antibiotics, bulk, not contraceptive"
"300340","Alkaloids, derivs, without antibiotics, hormones, bul"
"300390","Medicaments nes, formulated, in bulk"
"300410","Penicillins and streptomycins, derivs, in dosage"
"300420","Antibiotics nes, in dosage"
"300431","Insulin, in dosage"
"300432","Adrenal cortical hormones, in dosage"
"300439","Hormones nes, except contraceptives, in dosage"
"300440","Alkaloids, derivs, no antibiotics, hormones, in dosag"
"300450","Vitamins, derivatives,in dosage"
"300490","Medicaments nes, in dosage"
"300510","Medical dressings etc. having an adhesive layer"
"300590","Medical dressings etc except those with adhesive laye"
"300610","Suture materials, sterile surgical and dental goods"
"300620","Blood-grouping reagents"
"300630","Opacifying preparations, x-ray, diagnostic reagents"
"300640","Dental cements and other dental fillings, bone cement"
"300650","First-aid boxes and kits"
"300660","Contraceptive preps based on hormones or spermicides"
"310100","Animal or vegetable fertilizers, in packs >10 kg"
"310210","Urea, including aqueous solution in packs >10 kg"
"310221","Ammonium sulphate, in packs >10 kg"
"310229","Ammonium sulphate-nitrate mix, double salts, pack>10k"
"310230","Ammonium nitrate, including solution, in pack >10 kg"
"310240","Ammonium nitrate limestone etc mixes, pack >10 kg"
"310250","Sodium nitrate, in packs >10 kg"
"310260","Calcium-ammonium nitrate mix, double salts pack >10kg"
"310270","Calcium cyanamide in packs >10 kg"
"310280","Urea-ammonium nitrate mixes in solution, pack >10 kg"
"310290","Nitrogenous fertilizers, mixes, nes, pack >10 kg"
"310310","Superphosphates, in packs >10 kg"
"310320","Basic slag, in packs >10 kg"
"310390","Phosphatic fertilizers, mixes, nes, pack >10kg"
"310410","Carnallite, sylvite, crude potassium salts nes, >10kg"
"310420","Potassium chloride, in packs >10 kg"
"310430","Potassium sulphate, in packs >10 kg"
"310490","Potassic fertilizers, mixes, nes, pack >10 kg"
"310510","Fertilizer mixes in tablets etc or in packs <10 kg"
"310520","Nitrogen-phosphorus-potassium fertilizers, pack >10kg"
"310530","Diammonium phosphate, in packs >10 kg"
"310540","Monoammonium phosphate & mix with diammonium, <=10 kg"
"310551","Fertilizers with nitrates and phosphates, nes, <=10kg"
"310559","Fertilizers with nitrogen and phosphorus nes, <=10kg"
"310560","Fertilizers containing phosphorus & potassium, <=10kg"
"310590","Fertilizers, mixes, nes"
"320110","Quebracho tanning extract"
"320120","Wattle tanning extract"
"320130","Oak or chestnut tanning extract"
"320190","Vegetable tanning extracts nes, tannins, salts, deriv"
"320210","Synthetic organic tanning substances"
"320290","Inorganic tanning and pre-tanning preparations"
"320300","Colouring matter of vegetable or animal origin"
"320411","Disperse dyes and preparations based thereon"
"320412","Acid and mordant dyes and preparations based thereon"
"320413","Basic dyes and preparations based thereon"
"320414","Direct dyes and preparations based thereon"
"320415","Vat dyes and preparations based thereon"
"320416","Reactive dyes and preparations based thereon"
"320417","Synthetic organic pigments and preps based thereon"
"320419","Synthetic organic colouring matter nes"
"320420","Synthetic organic fluorescent brightening agents"
"320490","Synthetic organic products used as luminophores"
"320500","Colour lakes, preparations based thereon"
"320610","Pigments and preparations based on titanium dioxide"
"320620","Pigments and preparations based on chromium compounds"
"320630","Pigments and preparations based on cadmium compounds"
"320641","Ultramarine and preparations based thereon"
"320642","Pigments etc based on zinc sulphide, lithophone"
"320643","Pigments and preparations based on hexacyanoferrates"
"320649","Inorganic colouring matter nes, including preparation"
"320650","Inorganic products used as luminophores"
"320710","Pigment, opacifier, colours etc for ceramics or glass"
"320720","Vitrifiable enamels, glazes etc for ceramics and glas"
"320730","Liquid lustres and similar preparations"
"320740","Glass frit and other glass (powder, granules, flakes)"
"320810","Polyester based paints, varnishes, non-aqueous medium"
"320820","Acrylic or vinyl polymer paint or varnish, non-aqueou"
"320890","Polymer based paint, varnish in non-aqueous medium ne"
"320910","Acrylic & vinyl polymer based paint, varnish, in wate"
"320990","Polymer based paints & varnishes nes, aqueous medium"
"321000","Paints and varnishes nes, water pigments for leather"
"321100","Prepared driers"
"321210","Stamping foils"
"321290","Pigments for paints, dyes, etc packaged for retail"
"321310","Colours in sets"
"321390","Artist, student & signwriter colours, small packs nes"
"321410","Mastics, painters' fillings"
"321490","Non-refractory surfacing preparations nes"
"321511","Printing ink, black"
"321519","Printing ink, other than black"
"321590","Ink, other than printing ink"
"330111","Essential oils of bergamot"
"330112","Essential oils of orange"
"330113","Essential oils of lemon"
"330114","Essential oils of lime"
"330119","Essential oils of citrus fruits, nes"
"330121","Essential oils of geranium"
"330122","Essential oils of jasmin"
"330123","Essential oils of lavender or of lavandin"
"330124","Essential oils of peppermint"
"330125","Essential oils of other mints"
"330126","Essential oils of vetiver"
"330129","Essential oils, nes"
"330130","Resinoids"
"330190","Essential oils, terpenic by-products etc., nes"
"330210","Mixed odoriferous substances - food & drink industrie"
"330290","Mixed odoriferous substances - industrial use nes"
"330300","Perfumes and toilet waters"
"330410","Lip make-up preparations"
"330420","Eye make-up preparations"
"330430","Manicure or pedicure preparations"
"330491","Powders, for skin care and make-up"
"330499","Beauty, makeup and suntan preparations nes"
"330510","Hair shampoos"
"330520","Hair waving or straightening preparations"
"330530","Hair lacquers"
"330590","Hair preparations, nes"
"330610","Dentifrices"
"330690","Oral & dental hygiene preparations, except dentifrice"
"330710","Pre-shave, shaving and after shaving preparations"
"330720","Personal deodorants and antiperspirants"
"330730","Perfumed bath salts and other bath preparations"
"330741","Agarbatti, odorifers operated by burning"
"330749","Room perfuming or deodorizing preparations, nes"
"330790","Perfumery, cosmetic or toilet preparations, nes"
"340111","Soaps, for toilet use, solid"
"340119","Soaps for purposes other than toilet soap, solid"
"340120","Soaps nes"
"340211","Anionic surface-active agents"
"340212","Cationic surface-active agents"
"340213","Non-ionic surface active agents"
"340219","Organic surface-active agents, nes"
"340220","Washing and cleaning preparations, retail"
"340290","Organic surfactant washing, cleaning preparations nes"
"340311","Lubricant <70% petroleum oil, textile or leather use"
"340319","Lubricating oil etc containing <70% petroleum oil nes"
"340391","Lubricants etc, no petroleum oil, textile, leather us"
"340399","Lubricating preparations, zero petroleum content, nes"
"340410","Artificial & prepared waxes, of modified lignite"
"340420","Artificial and prepared waxes, of polyethylene glycol"
"340490","Artificial and prepared waxes, nes"
"340510","Polishes, creams etc. for footwear or leather"
"340520","Polishes, creams etc. for maintenance of woodwork"
"340530","Polishes etc. for coachwork, except metal polishes"
"340540","Scouring pastes and powders and other scouring preps"
"340590","Polishes, creams and similar preparations, nes"
"340600","Candles, tapers and the like"
"340700","Model paste, dental paste and wax, etc."
"350110","Casein"
"350190","Casein glues, caseinates and other casein derivatives"
"350210","Egg albumin"
"350290","Albumins nes, albuminates & other albumin derivatives"
"350300","Gelatin & derivatives, isinglass, glues (animal) nes"
"350400","Peptones, proteins and derivatives, nes, hide powder"
"350510","Dextrins and other modified starches"
"350520","Glues based on starches, or modified starches"
"350610","Glues and adhesives of all kinds, package <1 kg"
"350691","Adhesives based on rubber or plastic, package >1 kg"
"350699","Glues or adhesives, prepared nes, package > 1kg"
"350710","Rennet and concentrates thereof"
"350790","Enzymes nes, prepared enzymes nes, except rennet"
"360100","Propellent powders"
"360200","Prepared explosives, except propellent powders"
"360300","Safety or detonating fuses, detonators, igniters"
"380210","Activated carbon"
"380290","Activated natural mineral products, animal black, nes"
"380300","Tall oil, whether or not refined"
"380400","Residual lyes from the manufacture of wood pulp"
"380510","Gum, wood or sulphate turpentine oils"
"380520","Pine oil"
"380590","Terpenic oils nes, crude dipentene, paracymene"
"380610","Rosin and resin acids"
"380620","Rosin salts or resin acid salts"
"380630","Ester gums"
"380690","Resin acids and derivs nes, rosin derivs nes"
"380700","Wood tar, tar oils, creosote, naphtha, veg. pitches"
"380810","Insecticides, packaged for retail sale"
"380820","Fungicides, packaged for retail sale"
"380830","Herbicides, sprouting and growth regulators"
"380840","Disinfectants, packaged for retail sale"
"380890","Pesticides, rodenticides, nes, for retail sale"
"380910","Finishing agents & dye carriers, amylaceous"
"380991","Finishing agents, dye carriers, dressing, mordants ne"
"380992","Finishing agents & dye carriers - paper industry"
"380999","Finishing agents & dye carriers - other industries"
"381010","Metal pickling preps, solder and brazing flux, etc."
"381090","Electro-weld rod cores, coatings, etc."
"381111","Anti-knock preparations based on lead compounds"
"381119","Anti-knock preparations, except lead compounds"
"381121","Lubricating oil additives with petroleum, bitumen oil"
"381129","Lubricating oil additives, no petroleum, bitumen oils"
"381190","Oil additives nes, oxidation, corrosion, gum inhibito"
"381210","Prepared rubber accelerators"
"381220","Compound plasticisers for rubber or plastic, nes"
"381230","Anti-oxidisers and stabilizers for rubber or plastics"
"381300","Preparations and charges for fire-extinguishers"
"381400","Organic composite solvents, paint, varnish remover et"
"381511","Supported catalysts, nickel based"
"381512","Supported catalysts, precious metal based"
"381519","Supported catalysts, except nickel or precious metal"
"381590","Reaction initiators, accelerators, catalysts, nes"
"381600","Refractory cements, mortars, concretes except graphit"
"381710","Mixed alkylbenzenes, nes"
"381720","Mixed alkylnaphthalenes, nes"
"381800","Chemical element/compound wafers doped for electronic"
"381900","Hydraulic brake, transmission fluid <70% petroleum oi"
"382000","Anti-freezing preps and prepared de-icing fluids"
"382100","Prepared culture media for developing micro-organisms"
"382200","Composite diagnostic or laboratory reagents, nes"
"382310","Prepared binders for foundry moulds or cores"
"382320","Naphthenic acids, water-insoluble salts & esters"
"382330","Non-agglomerated metal carbides"
"382340","Prepared additives for cements, mortars or concretes"
"382350","Non-refractory mortars and concretes"
"382360","Sorbitol except D-glucitol"
"382390","Chemical industry products, preparations, mixtures ne"
"390110","Polyethylene - specific gravity <0.94 in primary form"
"390120","Polyethylene - specific gravity >0.94 in primary form"
"390130","Ethylene-vinyl acetate copolymers in primary forms"
"390190","Polymers of ethylene nes, in primary forms"
"390210","Polypropylene in primary forms"
"390220","Polyisobutylene in primary forms"
"390230","Propylene copolymers in primary forms"
"390290","Polymers of propylene, olefins nes in primary forms"
"390311","Polystyrene, expansible in primary forms"
"390319","Polystyrene, except expansible in primary forms"
"390320","Styrene-acrylonitrile (SAN) copolymers, primary forms"
"390330","Acrylonitrile-butadiene-styrene (ABS) copolymers"
"390390","Polymers of styrene except SAN or ABS in primary form"
"390410","Polyvinyl chloride in primary forms"
"390421","Polyvinyl chloride nes, not plasticised, primary form"
"390422","Polyvinyl chloride nes, plasticised in primary forms"
"390430","Vinyl chloride-vinyl acetate copolymers, primary form"
"390440","Vinyl chloride copolymers nes in primary forms"
"390450","Vinylidene chloride polymers in primary forms"
"390461","Polytetrafluoroethylene in primary forms"
"390469","Fluoro-polymers nes in primary forms"
"390490","Polymers of vinyl chloride & halogenated olefins nes"
"390511","Polyvinyl acetate, in aqueous dispersion, primary for"
"390519","Polyvinyl acetate except aqueous dispersion, primary"
"390520","Polyvinyl alcohols in primary form"
"390590","Vinyl polymers, halogenated olefins, primary form, ne"
"390610","Polymethyl methacrylate, in primary forms"
"390690","Acrylic polymers nes, in primary forms"
"390710","Polyacetals, in primary forms"
"390720","Polyethers nes, in primary forms"
"390730","Epoxide resins, in primary forms"
"390740","Polycarbonates, in primary forms"
"390750","Alkyd resins, in primary forms"
"390760","Polyethylene terephthalate, in primary forms"
"390791","Polyesters nes, unsaturated, in primary forms"
"390799","Polyesters nes, in primary forms"
"390810","Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12"
"390890","Polyamides nes, in primary forms"
"390910","Urea resins, thiourea resins, in primary forms"
"390920","Melamine resins, in primary forms"
"390930","Amino-resins nes, in primary forms"
"390940","Phenolic resins, in primary forms"
"390950","Polyurethanes in primary forms"
"391000","Silicones in primary forms"
"391110","Petroleum resins, coumarone, indene, polyterpenes"
"391190","Polysulphides, polysulphones etc, nes in primary form"
"391211","Cellulose acetates, non-plasticised, in primary forms"
"391212","Cellulose acetates, plasticised, in primary forms"
"391220","Cellulose nitrates, collodions, in primary forms"
"391231","Carboxymethylcellulose, salts, in primary forms"
"391239","Cellulose ethers nes, in primary forms"
"391290","Cellulose derivatives nes, in primary forms"
"391310","Alginic acid, its salts & esters, in primary forms"
"391390","Polymers, natural or modified nes in primary forms ne"
"391400","Ion exchangers based on polymers in primary forms"
"391510","Polyethylene waste or scrap"
"391520","Polystyrene waste or scrap"
"391530","Polyvinyl chloride waste or scrap"
"391590","Plastics waste or scrap nes"
"391610","Monofilament(>1mm), rods, etc, ethylene polymers"
"391620","Monofilament(>1mm), rods, etc, vinyl-chloride polymer"
"391690","Monofilament(>1mm), rods,not ethylene or vinyl polyme"
"391710","Sausage casings of hardened protein, cellulose"
"391721","Tube, pipe or hose, rigid, of polyethylene"
"391722","Tube, pipe or hose, rigid, of polypropylene"
"391723","Tube, pipe or hose, rigid, of polyvinyl chloride"
"391729","Plastic tube, pipe or hose, rigid, nes"
"391731","Plastic tube, pipe or hose, flexible, mbp > 27.6 MPa"
"391732","Flexible plastic tube/hose not reinforced, no fitting"
"391733","Flexible plastic tube/hose with fitting not reinforce"
"391739","Plastic tube, pipe or hose, flexible, nes"
"391740","Fittings for plastic tube, pipe or hose"
"391810","Floor, wall, ceiling cover, roll, tile, vinyl chlorid"
"391890","Floor/wall/ceiling cover, roll/tile not vinyl chlorid"
"391910","Self-adhesive plastic, rolls <20cm wide"
"391990","Self-adhesive plates, sheets, film, plastic, w >20 cm"
"392010","Sheet/film not cellular/reinf polymers of ethylene"
"392020","Sheet/film not cellular/reinf polymers of propylene"
"392030","Sheet/film not cellular/reinf polymers of styrene"
"392041","Sheet/film not cellular/reinf rigid vinyl polymer"
"392042","Sheet/film not cellular/reinf flexible vinyl polymer"
"392051","Sheet/film not cellular/reinf polymethyl methacrylate"
"392059","Sheet/film not cellular/reinf acrylic polymers nes"
"392061","Sheet/film not cellular/reinf polycarbonates"
"392062","Sheet/film not cellular/reinf polyethylene terephthal"
"392063","Sheet/film not cellular/reinf unsaturated polyesters"
"392069","Sheet/film not cellular/reinf polyesters nes"
"392071","Sheet/film not cellular/reinf regenerated cellulose"
"392072","Sheet/film not cellular/reinf vulcanised rubber"
"392073","Sheet/film not cellular/reinf cellulose acetate"
"392079","Sheet/film not cellular/reinf cellulose derivs nes"
"392091","Sheet/film not cellular/reinf polyvinyl butyral"
"392092","Sheet/film not cellular/reinf polyamides"
"392093","Sheet/film not cellular/reinf amino-resins"
"392094","Sheet/film not cellular/reinf phenolic resins"
"392099","Sheet/film not cellular/reinf plastics nes"
"392111","Sheet etc, cellular of polymers of styrene"
"392112","Sheet etc, cellular of polymers of vinyl chloride"
"392113","Sheet etc, cellular of polyurethane"
"392114","Sheet etc, cellular of regenerated cellulose"
"392119","Sheet etc, cellular of plastics nes"
"392190","Plastic sheet, film, foil or strip, nes"
"392210","Baths, shower-baths and wash basins, of plastics"
"392220","Lavatory seats and covers of plastics"
"392290","Bathroom wares nes, of plastics"
"392310","Boxes, cases, crates etc. of plastic"
"392321","Sacks & bags (including cones) of polymers of ethylen"
"392329","Plastic sacks, bags, cone except of ethylene polymers"
"392330","Plastic carboys, bottles and flasks, etc"
"392340","Plastic spools, cops, bobbins and similar supports"
"392350","Plastic stoppers, lids, caps and other closures"
"392390","Plastic articles for goods conveyance or packing nes"
"392410","Plastic table and kitchen ware"
"392490","Plastic household, toilet articles not table, kitchen"
"392510","Plastic reservoirs, tanks, vats, etc, capacity <300l"
"392520","Plastic doors and windows and frames thereof"
"392530","Plastic shutters and blinds (including Venetian)"
"392590","Plastic builders' ware nes"
"392610","Plastic office and school articles and supplies"
"392620","Plastic apparel and clothing accessories"
"392630","Plastic fittings for furniture, coachwork, etc"
"392640","Plastic statuettes and other ornamental articles"
"392690","Plastic articles nes"
"400110","Natural rubber latex, including prevulcanised"
"400121","Natural rubber in smoked sheets"
"400122","Technically specified natural rubber (TSNR)"
"400129","Natural rubber in other forms"
"400130","Balata, gutta-percha, guayule, chicle and similar gum"
"400211","Styrene-butadiene rubber (SBR/XSBR) latex"
"400219","Styrene-butadiene rubber (SBR/XSBR) except latex"
"400220","Butadiene rubber (BR)"
"400231","Isobutene-isoprene (butyl) rubber (IIR)"
"400239","Halo-isobutene-isoprene rubber (CIIR/BIIR)"
"400241","Chloroprene (chlorobutadiene) rubber (CR) latex"
"400249","Chloroprene (chlorobutadiene) rubber (CR) except late"
"400251","Acrylonitrile-butadiene rubber (NBR), latex"
"400259","Acrylonitrile-butadiene rubber (NBR) except as latex"
"400260","Isoprene rubber (IR)"
"400270","Ethylene-propylene-non-conj diene rubber (EPDM)"
"400280","Mixtures of natural and synthetic rubbers"
"400291","Synthetic rubber or factice latex from oils, nes"
"400299","Synthetic rubber, factice except latex from oils, nes"
"400300","Reclaimed rubber in primary forms or in sheets"
"400400","Waste, parings and scrap (except hard rubber)"
"400510","Compounded (carbon black, silica) unvulcanised rubber"
"400520","Rubber solutions, dispersions nes"
"400591","Compounded unvulcanised rubber in plate, sheet, strip"
"400599","Compounded unvulcanised rubber in primary forms nes"
"400610","Camel-back strips for retreading rubber tyres"
"400690","Rubber unvulcanised as rods, tubes, profiles, etc"
"400700","Vulcanised rubber thread and cord"
"400811","Plate, sheet, strip of vulcanised cellular rubber"
"400819","Rod and profile shapes of vulcanised cellular rubber"
"400821","Plate, sheet, strip of vulcanised non-cellular rubber"
"400829","Rods, profile shapes of vulcanised non-cellular rubbe"
"400910","Rubber tube, pipe or hose not reinforced, no fittings"
"400920","Rubber tube, pipe, hose, metal reinforced, no fitting"
"400930","Rubber tube, pipe, hose textile-reinforced no fitting"
"400940","Rubber tube, pipe or hose, reinforced nes, no fitting"
"400950","Rubber tube, pipe or hose with fittings"
"401010","Transmission belts etc, rubber, trapezoidal"
"401091","Conveyor belts and belting, rubber, <20cm wide"
"401099","Conveyor, transmission belts and belting, rubber nes"
"401110","Pneumatic tyres new of rubber for motor cars"
"401120","Pneumatic tyres new of rubber for buses or lorries"
"401130","Pneumatic tyres new of rubber for aircraft"
"401140","Pneumatic tyres new of rubber for motorcycles"
"401150","Pneumatic tyres new of rubber for bicycles"
"401191","Pneumatic tyres new of rubber nes, herring-bone tread"
"401199","Pneumatic tyres new of rubber nes"
"401210","Retreaded tyres"
"401220","Pneumatic tyres used"
"401290","Solid or cushioned tyres, interchangeable treads"
"401310","Inner tubes of rubber for motor vehicles"
"401320","Inner tubes of rubber for bicycles"
"401390","Inner tubes of rubber except bicycle or motor vehicle"
"401410","Sheath contraceptives"
"401490","Rubber hygienic, pharmacy items except contraceptives"
"401511","Rubber surgical gloves"
"401519","Gloves other than surgical, of rubber"
"401590","Clothing and accessories except gloves, of rubber"
"401610","Articles of cellular rubber"
"401691","Floor coverings, mats of rubber except cellular, hard"
"401692","Erasers (vulcanised rubber)"
"401693","Gaskets, washers and other seals of vulcanised rubber"
"401694","Boat and dock fenders, of vulcanised rubber"
"401695","Rubber articles, inflatable nes, vulcanised rubber"
"401699","Articles of vulcanised rubber nes, except hard rubber"
"401700","Hard rubber (eg ebonite) in all forms, articles,scrap"
"410110","Bovine skins, whole, raw"
"410121","Bovine hides, whole, fresh or wet-salted"
"410122","Butts and bends, bovine, fresh or wet-salted"
"410129","Hide sections, bovine, nes, fresh or wet-salted"
"410130","Bovine hides, raw, nes"
"410140","Equine hides and skins, raw"
"410210","Sheep or lamb skins, raw, wool on, except Persian etc"
"410221","Sheep or lamb skins, pickled, without wool"
"410229","Sheep or lamb skins, raw, except pickled, no wool"
"410310","Goat or kid hides and skins, raw, nes"
"410320","Reptile skins, raw"
"410390","Raw hide/skins except bovine/equine/sheep/goat/reptil"
"410410","Bovine skin leather, whole"
"410421","Bovine leather, vegetable pre-tanned except whole ski"
"410422","Bovine leather, otherwise pre-tanned except whole ski"
"410429","Bovine and equine leather, tanned or retanned, nes"
"410431","Bovine and equine leather, full or split grain, nes"
"410439","Bovine and equine leather, nes"
"410511","Sheep or lamb skin leather, vegetable pre-tanned"
"410512","Sheep or lamb skin leather, otherwise pre-tanned"
"410519","Sheep or lamb skin leather, tanned or retanned, nes"
"410520","Sheep or lamb skin leather, nes"
"410611","Goat or kid skin leather, vegetable pre-tanned"
"410612","Goat or kid skin leather, otherwise pre-tanned"
"410619","Goat or kid skin leather, tanned or retanned, nes"
"410620","Goat or kid skin leather, nes"
"410710","Swine leather"
"410721","Reptile leather, vegetable pre-tanned"
"410729","Reptile leather, other than vegetable pre-tanned"
"410790","Leather, of animals nes"
"410800","Chamois (including combination chamois) leather"
"410900","Patent leather, metallised leather"
"411000","Parings and other waste of leather"
"411100","Composition leather, in slabs, sheets or strip"
"420100","Saddlery and harness, of any material"
"420211","Trunks, suit-cases/etc, outer surface leather"
"420212","Trunks, suit-cases, etc, outer surface plastic/textil"
"420219","Trunks, suit-cases and similar containers, outer nes"
"420221","Handbags with outer surface of leather"
"420222","Handbags with outer surface plastics, textile materia"
"420229","Handbags, of vulcanised fibre or paperboard"
"420231","Articles for pocket or handbag, leather outer surface"
"420232","Articles for pocket or handbag, plastic, textile oute"
"420239","Articles for pocket or handbag, nes"
"420291","Containers nes, outer surface of leather"
"420292","Containers nes, outer surface plastic or textile"
"420299","Gun, musical instrument, camera, etc cases, nes"
"420310","Articles of apparel of leather or composition leather"
"420321","Leather, composition sports gloves, mittens and mitts"
"420329","Leather, composition gloves & mittens except sports"
"420330","Belts and bandoliers of leather or composition leathe"
"420340","Clothing accessories nes, of leather or composition"
"420400","Articles of leather & composition for technical uses"
"420500","Articles of leather and composition leather, nes"
"420610","Articles of catgut"
"420690","Articles of gut, goldbeater skin, bladder, tendons ne"
"430110","Raw mink furskins, whole"
"430120","Raw rabbit or hare furskins, whole"
"430130","Raw Persian and similar lamb furskins, whole"
"430140","Raw beaver furskins, whole"
"430150","Raw musk-rat furskins, whole"
"430160","Raw fox furskins, whole"
"430170","Raw seal furskins, whole"
"430180","Raw furskins of other animals, whole"
"430190","Raw furskin pieces (e.g. heads, tails, paws)"
"430211","Tanned or dressed mink furskins, whole, unassembled"
"430212","Tanned, dressed rabbit, hare skins, whole, unassemble"
"430213","Tanned,dressed Persian/etc lambskin, whole,unassemble"
"430219","Tanned,dressed whole furs except lamb/mink/rabbit/har"
"430220","Tanned or dressed furskin pieces (heads, tails, paws)"
"430230","Tanned or dressed whole furskins and pieces, assemble"
"430310","Articles of apparel & clothing accessories of furskin"
"430390","Articles of furskin except clothing and accessories"
"430400","Artificial fur and articles thereof"
"440110","Fuel wood"
"440121","Wood in chips, coniferous"
"440122","Wood in chips, non-coniferous"
"440130","Sawdust, wood waste or scrap"
"440200","Wood charcoal (including shell or nut charcoal)"
"440310","Poles, treated or painted with preservatives"
"440320","Logs, poles, coniferous not treated or painted"
"440331","Logs, Meranti (light or dark red), Bakau"
"440332","Logs, white Lauan/Meranti/Seraya/yellow Meranti/Alan"
"440333","Logs, Keruing/Ramin/Kapur/Teak/Jongkong/Merbau/etc"
"440334","Logs, Okoume/Obeche/Sapelli/Sipo/Acajou d'Afrique/etc"
"440335","Logs, Tiama, Mansonia, Ilomba, Dibetou, Limba, Azobe"
"440391","Logs, Oak (Quercus spp)"
"440392","Logs, Beech (Fagus spp)"
"440399","Logs, non-coniferous nes"
"440410","Poles, piles etc, coniferous, pointed but not sawn"
"440420","Poles, piles etc, non-coniferous, pointed, not sawn"
"440500","Wood wool, wood flour"
"440610","Ties, railway or tramway, wood not impregnated"
"440690","Ties, railway or tramway, impregnated wood"
"440710","Lumber, coniferous (softwood) thickness < 6 mm"
"440721","Lumber, Meranti red, Meranti Bakau, White Lauan etc"
"440722","Lumber, Okoume, Obeche, Sapelli/Sipo/Acajou/Makore/et"
"440723","Lumber, Baboen, Mahogany, Imbuia, Balsa"
"440791","Lumber, Oak (Quercus spp)"
"440792","Lumber, Beech (Fagus spp)"
"440799","Lumber, non-coniferous nes"
"440810","Veneer or ply sheet, coniferous (softwood) <6 mm thic"
"440820","Veneer or ply sheet, tropical woods, <6 mm thick"
"440890","Veneer,ply sheet, not conifer or tropical, <6 mm thic"
"440910","Coniferous wood continuously shaped along any edges"
"440920","Non-conifer wood continuously shaped along any edges"
"441010","Particle board of wood"
"441090","Particle board of ligneous materials except wood"
"441111","Fibreboard >0.8 g/cm2 not worked or surface covered"
"441119","Fibreboard >0.8 g/cm2 worked/surface covered"
"441121","Fibreboard 0.5 - 0.8 g/cm2 not worked/surface covered"
"441129","Fibreboard 0.5 - 0.8 g/cm2 worked/surface covered"
"441131","Fibreboard 0.35- 0.5 g/cm2 not worked/surface covered"
"441139","Fibreboard 0.35- 0.5 g/cm2 worked/surface covered"
"441191","Fibreboard nes not worked or surface covered nes"
"441199","Fibreboard nes, worked or surface covered"
"441211","Plywood 1 or 2 outer ply tropical hardwood (ply <6 mm"
"441212","Plywood, 1 or 2 outer ply non-conifer nes (ply <6 mm)"
"441219","Plywood, all softwood, each ply < 6mm thick"
"441221","Panels, 1 outer ply non-conifer & 1 ply particle boar"
"441229","Panels, 1 outer ply non-coniferous wood nes"
"441291","Panels, 1 outer ply conifer wood,1 ply particle board"
"441299","Panels, laminated wood, nes"
"441300","Densified wood, in blocks, plates, strips or profile"
"441400","Wooden frames for paintings, photographs, mirrors etc"
"441510","Wooden cases, boxes, crates, drums and containers"
"441520","Wooden pallets, box pallets and load boards"
"441600","Wooden casks, barrels, vats, tubs, etc."
"441700","Tools, broom handles,bodies, etc, of wood"
"441810","Windows, French-windows, frames, of wood"
"441820","Doors, frames and thresholds, of wood"
"441830","Parquet panels and tiles, of wood"
"441840","Shuttering for concrete constructional work, of wood"
"441850","Shingles and shakes, of wood"
"441890","Builder's joinery and carpentry of wood nes"
"441900","Tableware and kitchenware, of wood"
"442010","Statuettes and other ornaments of wood"
"442090","Wood marquetry, laid; caskets & cases for jewels, etc"
"442110","Clothes hangers of wood"
"442190","Wooden articles nes"
"450110","Natural cork, raw or simply prepared"
"450190","Waste cork, crushed, granulated or ground"
"450200","Natural cork, debacked, roughly squared, in blocks et"
"450310","Corks and stoppers, natural cork"
"450390","Natural cork articles other than corks or stoppers"
"450410","Blocks, sheets, strip and tiles of agglomerated cork"
"450490","Articles of agglomerated cork"
"460110","Plaits and products of plaiting materials"
"460120","Mats, matting and screens, vegetable plaiting materia"
"460191","Plaited vegetable material articles not mats or scree"
"460199","Products of non-vegetable plaiting materials"
"460210","Basketwork, wickerwork products of vegetable material"
"460290","Basketwork and wickerwork products, non-vegetable"
"470100","Mechanical wood pulp"
"470200","Chemical wood pulp, dissolving grades"
"470311","Chem wood pulp, soda or sulphate, conifer, unbleached"
"470319","Chem wood pulp, soda/sulphate, non-conifer, unbleache"
